payment_id,user_id,subscription_id,amount,payment_date
1,1,1,13.99,2025-07-18
2,1,1,13.99,2025-08-18
3,1,1,13.99,2025-09-18
4,1,1,13.99,2025-10-18
5,1,1,13.99,2025-11-18
6,1,1,13.99,2025-12-18
7,2,2,19.99,2025-11-12
8,2,2,19.99,2025-12-12
9,3,3,13.99,2023-04-24
10,3,3,13.99,2023-05-24
11,3,3,13.99,2023-06-24
12,3,3,13.99,2023-07-24
13,3,3,13.99,2023-08-24
14,3,3,13.99,2023-09-24
15,4,4,13.99,2023-09-23
16,4,4,13.99,2023-10-23
17,4,4,13.99,2023-11-23
18,4,4,13.99,2023-12-23
19,4,4,13.99,2024-01-23
20,4,4,13.99,2024-02-23
21,4,4,13.99,2024-03-23
22,4,4,13.99,2024-04-23
23,4,4,13.99,2024-05-23
24,4,4,13.99,2024-06-23
25,4,4,13.99,2024-07-23
26,4,4,13.99,2024-08-23
27,4,4,13.99,2024-09-23
28,4,4,13.99,2024-10-23
29,4,4,13.99,2024-11-23
30,4,4,13.99,2024-12-23
31,4,4,13.99,2025-01-23
32,4,4,13.99,2025-02-23
33,4,4,13.99,2025-03-23
34,4,4,13.99,2025-04-23
35,5,5,13.99,2025-07-22
36,5,5,13.99,2025-08-22
37,5,5,13.99,2025-09-22
38,5,5,13.99,2025-10-22
39,5,5,13.99,2025-11-22
40,5,5,13.99,2025-12-22
41,6,6,13.99,2025-06-18
42,6,6,13.99,2025-07-18
43,7,7,19.99,2024-08-27
44,7,7,19.99,2024-09-27
45,7,7,19.99,2024-10-27
46,7,7,19.99,2024-11-27
47,7,7,19.99,2024-12-27
48,7,7,19.99,2025-01-27
49,7,7,19.99,2025-02-27
50,7,7,19.99,2025-03-27
51,7,7,19.99,2025-04-27
52,7,7,19.99,2025-05-27
53,7,7,19.99,2025-06-27
54,8,8,13.99,2023-06-06
55,8,8,13.99,2023-07-06
56,8,8,13.99,2023-08-06
57,8,8,13.99,2023-09-06
58,8,8,13.99,2023-10-06
59,8,8,13.99,2023-11-06
60,8,8,13.99,2023-12-06
61,8,8,13.99,2024-01-06
62,8,8,13.99,2024-02-06
63,8,8,13.99,2024-03-06
64,8,8,13.99,2024-04-06
65,8,8,13.99,2024-05-06
66,8,8,13.99,2024-06-06
67,8,8,13.99,2024-07-06
68,8,8,13.99,2024-08-06
69,8,8,13.99,2024-09-06
70,8,8,13.99,2024-10-06
71,8,8,13.99,2024-11-06
72,8,8,13.99,2024-12-06
73,8,8,13.99,2025-01-06
74,8,8,13.99,2025-02-06
75,8,8,13.99,2025-03-06
76,8,8,13.99,2025-04-06
77,8,8,13.99,2025-05-06
78,8,8,13.99,2025-06-06
79,8,8,13.99,2025-07-06
80,8,8,13.99,2025-08-06
81,8,8,13.99,2025-09-06
82,8,8,13.99,2025-10-06
83,8,8,13.99,2025-11-06
84,8,8,13.99,2025-12-06
85,9,9,13.99,2025-01-03
86,9,9,13.99,2025-02-03
87,9,9,13.99,2025-03-03
88,9,9,13.99,2025-04-03
89,9,9,13.99,2025-05-03
90,9,9,13.99,2025-06-03
91,9,9,13.99,2025-07-03
92,9,9,13.99,2025-08-03
93,9,9,13.99,2025-09-03
94,9,9,13.99,2025-10-03
95,9,9,13.99,2025-11-03
96,10,10,13.99,2025-11-18
97,10,10,13.99,2025-12-18
98,11,11,7.99,2025-11-05
99,11,11,7.99,2025-12-05
