subscription_id,user_id,plan_id,start_date,end_date,status
1,1,2,2025-07-18,,active
2,2,3,2025-11-12,,active
3,3,2,2023-04-24,2023-09-24,canceled
4,4,2,2023-09-23,2025-04-23,canceled
5,5,2,2025-07-22,,active
6,6,2,2025-06-18,2025-07-18,canceled
7,7,3,2024-08-27,2025-06-27,canceled
8,8,2,2023-06-06,,active
9,9,2,2025-01-03,2025-11-03,canceled
10,10,2,2025-11-18,,active
11,11,1,2025-11-05,,active
12,12,3,2023-02-16,2023-03-16,canceled
13,13,2,2025-04-04,2025-07-04,canceled
14,14,3,2024-12-08,,active
15,15,2,2025-10-04,,active
16,16,1,2024-02-15,2025-01-15,canceled
17,17,1,2023-12-08,2025-04-08,canceled
18,18,1,2024-12-04,2025-07-04,canceled
19,19,1,2023-07-08,2024-09-08,canceled
20,20,3,2025-01-23,2025-07-23,canceled
21,21,2,2023-04-06,,active
22,22,2,2024-02-05,,active
23,23,1,2025-02-18,,active
24,24,2,2023-10-03,,active
25,25,3,2025-07-17,,active
26,26,2,2025-04-13,,active
27,27,3,2024-02-22,2024-05-22,canceled
28,28,2,2024-01-23,2024-03-23,canceled
29,29,2,2023-01-05,2023-02-05,canceled
30,30,2,2025-07-02,2025-08-02,canceled
31,31,2,2023-11-04,,active
32,32,1,2025-03-04,2025-05-04,canceled
33,33,2,2023-08-26,,active
34,34,1,2025-08-08,2025-09-08,canceled
35,35,1,2024-02-16,2025-06-16,canceled
36,36,1,2023-11-10,2025-02-10,canceled
37,37,2,2023-12-06,,active
38,38,1,2025-02-08,2025-07-08,canceled
39,39,3,2024-02-05,2025-09-05,canceled
40,40,3,2025-07-19,,active
41,41,1,2025-11-13,,active
42,42,3,2025-05-23,2025-06-23,canceled
43,43,1,2023-12-03,2024-01-03,canceled
44,44,2,2024-07-17,2025-04-17,canceled
45,45,3,2024-05-13,2025-04-13,canceled
46,46,2,2023-11-20,,active
47,47,2,2025-04-07,2025-05-07,canceled
48,48,2,2025-03-22,2025-05-22,canceled
49,49,2,2023-03-02,2024-01-02,canceled
50,50,1,2023-07-07,2024-08-07,canceled
51,51,1,2024-09-24,2024-10-24,canceled
52,52,1,2023-10-20,2024-02-20,canceled
53,53,2,2025-09-15,,active
54,54,2,2025-12-17,,active
55,55,1,2025-01-09,2025-03-09,canceled
56,56,2,2023-09-06,2024-06-06,canceled
57,57,1,2023-02-15,2023-11-15,canceled
58,58,3,2025-01-27,2025-11-27,canceled
59,59,1,2025-07-10,,active
60,60,1,2025-09-15,,active
61,61,2,2025-06-18,2025-12-18,canceled
62,62,2,2025-12-20,,active
63,63,2,2024-04-10,2025-12-10,canceled
64,64,2,2024-10-17,2025-07-17,canceled
65,65,1,2023-08-26,,active
66,66,1,2024-01-09,,active
67,67,2,2023-10-23,2024-01-23,canceled
68,68,2,2024-05-27,2024-10-27,canceled
69,69,2,2025-12-08,,active
70,70,3,2025-02-08,,active
71,71,3,2024-09-08,,active
72,72,2,2023-06-25,2025-06-25,canceled
73,73,2,2024-07-19,,active
74,74,2,2024-03-24,2024-07-24,canceled
75,75,1,2024-05-13,2025-02-13,canceled
76,76,1,2023-08-22,2023-09-22,canceled
77,77,2,2025-08-16,,active
78,78,3,2023-06-05,2023-08-05,canceled
79,79,3,2025-04-21,,active
80,80,1,2023-09-10,2023-12-10,canceled
81,81,1,2025-03-21,,active
82,82,1,2024-09-23,,active
83,83,2,2023-12-13,2025-07-13,canceled
84,84,2,2023-12-18,2024-04-18,canceled
85,85,2,2023-12-13,,active
86,86,1,2023-03-16,,active
87,87,2,2025-05-27,,active
88,88,1,2025-11-11,,active
89,89,2,2023-02-10,2025-11-10,canceled
