user_id,signup_date,acquisition_channel,country,age
1,2025-07-18,Paid Social,US,19
2,2025-11-12,Affiliate,US,24
3,2023-04-24,Affiliate,US,45
4,2023-09-23,Paid Social,DE,27
5,2025-07-22,Paid Social,UK,26
6,2025-06-18,Affiliate,UK,40
7,2024-08-27,Search,US,23
8,2023-06-06,Paid Social,US,33
9,2025-01-03,Organic,US,46
10,2025-11-18,Search,US,52
11,2025-11-05,Search,US,28
12,2023-02-16,Paid Social,US,22
13,2025-04-04,Paid Social,AU,42
14,2024-12-08,Search,VN,23
15,2025-10-04,Referral,CA,44
16,2024-02-15,Display,US,50
17,2023-12-08,Paid Social,UK,24
18,2024-12-04,Affiliate,US,35
19,2023-07-08,Paid Social,UK,22
20,2025-01-23,Organic,US,30
21,2023-04-06,Organic,CA,34
22,2024-02-05,Organic,US,50
23,2025-02-18,Paid Social,DE,32
24,2023-10-03,Affiliate,UK,36
25,2025-07-17,Search,AU,41
26,2025-04-13,Organic,VN,20
27,2024-02-22,Organic,CA,34
28,2024-01-23,Organic,US,29
29,2023-01-05,Affiliate,US,16
30,2025-07-02,Display,CA,46
31,2023-11-04,Search,CA,24
32,2025-03-04,Display,UK,36
33,2023-08-26,Referral,CA,32
34,2025-08-08,Search,US,43
35,2024-02-16,Organic,AU,29
36,2023-11-10,Affiliate,US,41
37,2023-12-06,Search,UK,25
38,2025-02-08,Organic,US,31
39,2024-02-05,Affiliate,CA,45
40,2025-07-19,Search,UK,16
41,2025-11-13,Organic,US,22
42,2025-05-23,Paid Social,AU,40
43,2023-12-03,Paid Social,UK,26
44,2024-07-17,Display,US,16
45,2024-05-13,Paid Social,US,29
46,2023-11-20,Organic,CA,45
47,2025-04-07,Display,US,40
48,2025-03-22,Display,US,42
49,2023-03-02,Organic,UK,44
50,2023-07-07,Display,UK,20
51,2024-09-24,Organic,US,35
52,2023-10-20,Organic,CA,43
53,2025-09-15,Organic,VN,33
54,2025-12-17,Search,US,39
55,2025-01-09,Search,US,36
56,2023-09-06,Paid Social,AU,46
57,2023-02-15,Affiliate,VN,33
58,2025-01-27,Referral,US,24
59,2025-07-10,Search,VN,28
60,2025-09-15,Display,UK,16
61,2025-06-18,Paid Social,US,29
62,2025-12-20,Search,VN,34
63,2024-04-10,Affiliate,CA,29
64,2024-10-17,Display,UK,16
65,2023-08-26,Affiliate,VN,24
66,2024-01-09,Referral,DE,34
67,2023-10-23,Paid Social,UK,37
68,2024-05-27,Paid Social,AU,37
69,2025-12-08,Organic,US,30
70,2025-02-08,Search,US,22
71,2024-09-08,Paid Social,UK,28
72,2023-06-25,Paid Social,CA,36
73,2024-07-19,Affiliate,DE,39
74,2024-03-24,Referral,US,47
75,2024-05-13,Paid Social,AU,21
76,2023-08-22,Paid Social,VN,28
77,2025-08-16,Search,UK,40
78,2023-06-05,Paid Social,US,44
79,2025-04-21,Paid Social,VN,46
80,2023-09-10,Affiliate,US,33
81,2025-03-21,Organic,VN,24
82,2024-09-23,Search,US,33
83,2023-12-13,Referral,UK,24
84,2023-12-18,Display,US,31
85,2023-12-13,Referral,US,22
86,2023-03-16,Search,DE,38
87,2025-05-27,Referral,AU,31
88,2025-11-11,Affiliate,US,49
89,2023-02-10,Paid Social,UK,33
90,2024-11-21,Search,US,27
91,2025-12-07,Paid Social,CA,25
92,2024-08-03,Organic,DE,56
93,2025-05-15,Display,DE,20
94,2023-04-09,Paid Social,UK,27
95,2025-12-08,Referral,DE,46
96,2025-09-09,Paid Social,DE,37
97,2024-12-11,Display,AU,16
98,2025-07-15,Search,CA,27
99,2025-11-24,Referral,US,28
100,2024-12-27,Display,CA,38
101,2023-10-17,Paid Social,US,42
102,2025-01-09,Referral,US,56
103,2024-05-12,Paid Social,US,37
104,2025-06-18,Paid Social,US,19
105,2023-05-12,Paid Social,VN,21
106,2024-10-13,Search,UK,42
107,2024-12-17,Organic,US,27
108,2024-02-09,Display,US,17
109,2025-01-10,Organic,UK,38
110,2025-12-27,Search,DE,48
111,2025-05-03,Organic,US,29
112,2024-01-21,Organic,US,62
113,2025-06-02,Paid Social,US,18
114,2024-01-23,Paid Social,UK,17
115,2023-02-13,Paid Social,UK,26
116,2024-07-06,Display,AU,31
117,2025-11-12,Affiliate,UK,52
118,2025-03-20,Referral,VN,16
